Meeting ID,Host,Feature,Event Type,Event time,View Count,Regeneration Count
M05000090,user3968@globalenterprise.com,Summary,Generated,2024-05-24 01:20:00,5,1
M05000091,user2254@globalenterprise.com,Summary,Generated,2024-05-16 00:36:00,3,2
M05000092,user1939@globalenterprise.com,Summary,Generated,2024-05-03 01:07:00,4,3
M05000095,user1464@globalenterprise.com,Summary,Generated,2024-05-05 01:25:00,4,2
M05000096,user1265@globalenterprise.com,Summary,Generated,2024-05-14 00:48:00,3,3
M05000097,user1299@globalenterprise.com,Summary,Generated,2024-05-05 00:28:00,2,2
M05000098,user7488@globalenterprise.com,Summary,Generated,2024-05-22 01:50:00,2,1
M05000099,user2904@globalenterprise.com,Summary,Generated,2024-05-04 00:30:00,5,1
M05000101,user5904@globalenterprise.com,Summary,Generated,2024-05-16 01:15:00,5,1
M05000102,user480@globalenterprise.com,Summary,Generated,2024-05-13 00:25:00,2,2
M05000103,user2548@globalenterprise.com,Summary,Generated,2024-05-04 01:11:00,4,1
M05000105,user2285@globalenterprise.com,Summary,Generated,2024-05-19 01:23:00,4,3
M05000106,user4691@globalenterprise.com,Summary,Generated,2024-05-16 01:07:00,4,2
M05000107,user407@globalenterprise.com,Summary,Generated,2024-05-07 00:18:00,4,2
M05000108,user4125@globalenterprise.com,Summary,Generated,2024-05-18 00:48:00,3,3
M05000111,user7027@globalenterprise.com,Summary,Generated,2024-05-24 00:36:00,5,1
M05000113,user1992@globalenterprise.com,Summary,Generated,2024-05-10 00:27:00,2,3
M05000115,user1693@globalenterprise.com,Summary,Generated,2024-05-08 01:25:00,4,2
M05000116,user6568@globalenterprise.com,Summary,Generated,2024-05-04 01:36:00,5,1
M05000117,user6758@globalenterprise.com,Summary,Generated,2024-05-28 01:03:00,4,1
M05000118,user4676@globalenterprise.com,Summary,Generated,2024-05-14 01:40:00,4,2
M05000119,user5485@globalenterprise.com,Summary,Generated,2024-05-25 01:27:00,5,1
M05000120,user5938@globalenterprise.com,Summary,Generated,2024-05-20 00:25:00,4,1
M05000121,user5477@globalenterprise.com,Summary,Generated,2024-05-12 01:41:00,5,3
M05000122,user2809@globalenterprise.com,Summary,Generated,2024-05-11 00:32:00,3,3
M05000123,user122@globalenterprise.com,Summary,Generated,2024-05-29 01:15:00,5,2
M05000125,user329@globalenterprise.com,Summary,Generated,2024-05-08 01:56:00,2,2
M05000126,user6227@globalenterprise.com,Summary,Generated,2024-05-02 01:50:00,5,2
M05000127,user3122@globalenterprise.com,Summary,Generated,2024-05-07 01:22:00,3,2
M05000129,user6390@globalenterprise.com,Summary,Generated,2024-05-02 01:50:00,4,1
M05000130,user7473@globalenterprise.com,Summary,Generated,2024-05-04 01:35:00,3,2
M05000131,user4981@globalenterprise.com,Summary,Generated,2024-05-09 00:40:00,5,3
M05000132,user902@globalenterprise.com,Summary,Generated,2024-05-15 01:43:00,3,2
M05000133,user6810@globalenterprise.com,Summary,Generated,2024-05-24 00:51:00,4,3
M05000135,user272@globalenterprise.com,Summary,Generated,2024-05-02 00:29:00,3,2
M05000136,user1285@globalenterprise.com,Summary,Generated,2024-05-21 00:35:00,4,3
M05000138,user2335@globalenterprise.com,Summary,Generated,2024-05-25 00:31:00,3,2
M05000140,user5724@globalenterprise.com,Summary,Generated,2024-05-28 01:22:00,4,3
M05000141,user2416@globalenterprise.com,Summary,Generated,2024-05-23 01:45:00,2,2
M05000142,user5708@globalenterprise.com,Summary,Generated,2024-05-18 01:09:00,5,3
M05000144,user4967@globalenterprise.com,Summary,Generated,2024-05-04 00:54:00,4,1
M05000146,user4361@globalenterprise.com,Summary,Generated,2024-05-16 00:47:00,2,1
M05000147,user4020@globalenterprise.com,Summary,Generated,2024-05-24 01:08:00,3,1
M05000148,user7006@globalenterprise.com,Summary,Generated,2024-05-16 01:50:00,2,3
M05000149,user1302@globalenterprise.com,Summary,Generated,2024-05-24 00:38:00,4,1
M05000150,user881@globalenterprise.com,Summary,Generated,2024-05-21 00:38:00,4,2
M05000154,user3758@globalenterprise.com,Summary,Generated,2024-05-13 01:23:00,5,2
M05000156,user6435@globalenterprise.com,Summary,Generated,2024-05-03 00:41:00,2,3
M05000157,user5047@globalenterprise.com,Summary,Generated,2024-05-13 01:44:00,5,1
M05000159,user3482@globalenterprise.com,Summary,Generated,2024-05-29 00:49:00,2,2
M05000160,user2804@globalenterprise.com,Summary,Generated,2024-05-24 00:55:00,5,3
M05000161,user1707@globalenterprise.com,Summary,Generated,2024-05-06 01:39:00,2,1
M05000162,user4698@globalenterprise.com,Summary,Generated,2024-05-22 01:47:00,3,3
M05000164,user4248@globalenterprise.com,Summary,Generated,2024-05-09 00:55:00,3,1
M05000165,user2208@globalenterprise.com,Summary,Generated,2024-05-04 00:43:00,4,1
M05000166,user6526@globalenterprise.com,Summary,Generated,2024-05-29 00:26:00,5,3
M05000168,user7188@globalenterprise.com,Summary,Generated,2024-05-15 00:52:00,2,2
M05000169,user1981@globalenterprise.com,Summary,Generated,2024-05-13 01:16:00,5,3
M05000172,user6429@globalenterprise.com,Summary,Generated,2024-05-15 01:01:00,5,2
M05000173,user3312@globalenterprise.com,Summary,Generated,2024-05-04 01:41:00,3,3
M05000174,user4015@globalenterprise.com,Summary,Generated,2024-05-28 00:54:00,4,1
M05000175,user6870@globalenterprise.com,Summary,Generated,2024-05-02 00:17:00,3,3
M05000176,user4811@globalenterprise.com,Summary,Generated,2024-05-20 02:00:00,2,1
M05000180,user3291@globalenterprise.com,Summary,Generated,2024-05-18 00:57:00,2,1
M05000182,user2063@globalenterprise.com,Summary,Generated,2024-05-11 01:24:00,2,3
M05000183,user5394@globalenterprise.com,Summary,Generated,2024-05-14 01:18:00,3,3
M05000184,user3478@globalenterprise.com,Summary,Generated,2024-05-13 01:46:00,3,2
M05000185,user1689@globalenterprise.com,Summary,Generated,2024-05-12 01:18:00,2,1
M05000186,user2189@globalenterprise.com,Summary,Generated,2024-05-20 00:49:00,2,1
M05000188,user1655@globalenterprise.com,Summary,Generated,2024-05-05 01:31:00,4,2
M05000189,user1847@globalenterprise.com,Summary,Generated,2024-05-16 00:45:00,2,3
M05000190,user3941@globalenterprise.com,Summary,Generated,2024-05-26 01:50:00,4,3
M05000191,user6260@globalenterprise.com,Summary,Generated,2024-05-25 01:44:00,3,3
M05000192,user7073@globalenterprise.com,Summary,Generated,2024-05-08 01:41:00,2,2
M05000193,user7332@globalenterprise.com,Summary,Generated,2024-05-15 01:04:00,3,1
M05000195,user3809@globalenterprise.com,Summary,Generated,2024-05-08 00:27:00,2,3
M05000196,user519@globalenterprise.com,Summary,Generated,2024-05-05 00:18:00,2,2
M05000199,user4497@globalenterprise.com,Summary,Generated,2024-05-09 01:44:00,2,2
M05000200,user3400@globalenterprise.com,Summary,Generated,2024-05-08 01:25:00,3,3
M05000201,user4479@globalenterprise.com,Summary,Generated,2024-05-10 00:56:00,2,3
M05000202,user7156@globalenterprise.com,Summary,Generated,2024-05-07 00:59:00,4,1
M05000203,user6059@globalenterprise.com,Summary,Generated,2024-05-13 00:53:00,2,1
M05000205,user3426@globalenterprise.com,Summary,Generated,2024-05-03 00:21:00,5,1
M05000207,user1569@globalenterprise.com,Summary,Generated,2024-05-22 01:24:00,5,2
M05000209,user7001@globalenterprise.com,Summary,Generated,2024-05-08 00:27:00,2,3
M05000210,user4498@globalenterprise.com,Summary,Generated,2024-05-02 00:37:00,3,3
M05000211,user582@globalenterprise.com,Summary,Generated,2024-05-13 01:32:00,2,3
M05000213,user7352@globalenterprise.com,Summary,Generated,2024-05-21 01:17:00,3,3
M05000214,user2725@globalenterprise.com,Summary,Generated,2024-05-21 01:39:00,4,1
M05000215,user2480@globalenterprise.com,Summary,Generated,2024-05-24 00:19:00,5,1
M05000216,user7596@globalenterprise.com,Summary,Generated,2024-05-29 01:37:00,2,3
M05000217,user4026@globalenterprise.com,Summary,Generated,2024-05-05 01:46:00,4,2
M05000218,user7220@globalenterprise.com,Summary,Generated,2024-05-10 01:01:00,5,1
M05000219,user7665@globalenterprise.com,Summary,Generated,2024-05-06 00:58:00,5,3
M05000220,user3652@globalenterprise.com,Summary,Generated,2024-05-13 00:59:00,3,3
M05000221,user5559@globalenterprise.com,Summary,Generated,2024-05-25 01:57:00,4,3
M05000222,user3258@globalenterprise.com,Summary,Generated,2024-05-28 00:29:00,2,3
M05000224,user4288@globalenterprise.com,Summary,Generated,2024-05-22 01:01:00,3,2
M05000226,user2159@globalenterprise.com,Summary,Generated,2024-05-08 01:26:00,3,3
M05000227,user2444@globalenterprise.com,Summary,Generated,2024-05-14 01:33:00,3,3
M05000228,user4721@globalenterprise.com,Summary,Generated,2024-05-21 00:55:00,4,3
M05000231,user5296@globalenterprise.com,Summary,Generated,2024-05-20 00:44:00,2,2
M05000232,user807@globalenterprise.com,Summary,Generated,2024-05-24 01:49:00,2,1
M05000234,user3432@globalenterprise.com,Summary,Generated,2024-05-21 00:47:00,2,2
M05000237,user5079@globalenterprise.com,Summary,Generated,2024-05-15 01:13:00,4,2
M05000238,user2893@globalenterprise.com,Summary,Generated,2024-05-21 00:31:00,3,2
M05000241,user7531@globalenterprise.com,Summary,Generated,2024-05-23 00:17:00,5,1
M05000242,user7699@globalenterprise.com,Summary,Generated,2024-05-07 00:27:00,5,2
M05000244,user2907@globalenterprise.com,Summary,Generated,2024-05-29 00:45:00,4,3
M05000245,user7150@globalenterprise.com,Summary,Generated,2024-05-19 00:20:00,3,2
M05000246,user2759@globalenterprise.com,Summary,Generated,2024-05-29 01:31:00,4,2
M05000248,user2256@globalenterprise.com,Summary,Generated,2024-05-09 00:15:00,4,3
M05000250,user4365@globalenterprise.com,Summary,Generated,2024-05-22 01:51:00,2,1
M05000251,user4711@globalenterprise.com,Summary,Generated,2024-05-02 01:03:00,3,3
M05000252,user7110@globalenterprise.com,Summary,Generated,2024-05-11 00:25:00,3,2
M05000254,user2231@globalenterprise.com,Summary,Generated,2024-05-21 00:17:00,4,1
M05000255,user6892@globalenterprise.com,Summary,Generated,2024-05-06 01:23:00,5,1
M05000256,user1024@globalenterprise.com,Summary,Generated,2024-05-28 01:21:00,3,3
M05000259,user7181@globalenterprise.com,Summary,Generated,2024-05-20 01:48:00,4,1
M05000263,user6477@globalenterprise.com,Summary,Generated,2024-05-09 01:38:00,3,2
M05000264,user5574@globalenterprise.com,Summary,Generated,2024-05-29 01:52:00,4,3
M05000265,user4585@globalenterprise.com,Summary,Generated,2024-05-07 00:15:00,4,2
M05000266,user5297@globalenterprise.com,Summary,Generated,2024-05-07 01:46:00,5,2
M05000267,user5773@globalenterprise.com,Summary,Generated,2024-05-17 01:59:00,4,3
M05000268,user2118@globalenterprise.com,Summary,Generated,2024-05-17 01:01:00,5,2
M05000269,user4922@globalenterprise.com,Summary,Generated,2024-05-17 01:09:00,2,3
M05000270,user5036@globalenterprise.com,Summary,Generated,2024-05-03 00:47:00,4,2
M05000271,user5658@globalenterprise.com,Summary,Generated,2024-05-27 00:32:00,4,3
M05000273,user6408@globalenterprise.com,Summary,Generated,2024-05-26 00:42:00,2,3
M05000275,user191@globalenterprise.com,Summary,Generated,2024-05-03 00:56:00,5,1
M05000277,user7446@globalenterprise.com,Summary,Generated,2024-05-13 00:30:00,5,2
M05000278,user1656@globalenterprise.com,Summary,Generated,2024-05-29 01:02:00,2,1
M05000283,user374@globalenterprise.com,Summary,Generated,2024-05-22 01:16:00,5,1
M05000284,user6095@globalenterprise.com,Summary,Generated,2024-05-19 01:10:00,3,3
M05000285,user1785@globalenterprise.com,Summary,Generated,2024-05-18 00:58:00,5,2
M05000286,user2862@globalenterprise.com,Summary,Generated,2024-05-27 01:03:00,5,1
M05000287,user1241@globalenterprise.com,Summary,Generated,2024-05-15 01:37:00,4,2
M05000288,user3904@globalenterprise.com,Summary,Generated,2024-05-08 01:56:00,5,1
M05000289,user2110@globalenterprise.com,Summary,Generated,2024-05-24 01:35:00,2,1
M05000290,user7655@globalenterprise.com,Summary,Generated,2024-05-25 00:44:00,5,1
M05000291,user2173@globalenterprise.com,Summary,Generated,2024-05-02 00:22:00,4,2
M05000293,user4135@globalenterprise.com,Summary,Generated,2024-05-20 01:09:00,5,2
M05000295,user71@globalenterprise.com,Summary,Generated,2024-05-29 00:19:00,3,1
M05000297,user1636@globalenterprise.com,Summary,Generated,2024-05-11 01:14:00,5,1
M05000298,user6223@globalenterprise.com,Summary,Generated,2024-05-26 01:03:00,2,3
M05000299,user5493@globalenterprise.com,Summary,Generated,2024-05-27 00:25:00,3,2
M05000300,user3941@globalenterprise.com,Summary,Generated,2024-05-16 01:05:00,4,3
M05000301,user3835@globalenterprise.com,Summary,Generated,2024-05-07 01:01:00,4,3
M05000302,user3319@globalenterprise.com,Summary,Generated,2024-05-26 01:21:00,2,1
M05000303,user4292@globalenterprise.com,Summary,Generated,2024-05-12 01:35:00,4,1
M05000304,user2689@globalenterprise.com,Summary,Generated,2024-05-13 01:49:00,2,1
M05000308,user2913@globalenterprise.com,Summary,Generated,2024-05-15 01:03:00,3,2
M05000309,user4467@globalenterprise.com,Summary,Generated,2024-05-27 00:25:00,5,2
M05000311,user7536@globalenterprise.com,Summary,Generated,2024-05-02 00:19:00,5,3
M05000312,user2427@globalenterprise.com,Summary,Generated,2024-05-10 00:16:00,3,3
M05000313,user650@globalenterprise.com,Summary,Generated,2024-05-26 01:24:00,2,1
M05000318,user2122@globalenterprise.com,Summary,Generated,2024-05-08 00:15:00,4,2
M05000319,user6674@globalenterprise.com,Summary,Generated,2024-05-02 00:27:00,4,1
M05000320,user7594@globalenterprise.com,Summary,Generated,2024-05-14 01:47:00,4,1
M05000321,user4245@globalenterprise.com,Summary,Generated,2024-05-18 00:46:00,4,2
M05000322,user3731@globalenterprise.com,Summary,Generated,2024-05-13 01:45:00,2,2
M05000323,user7737@globalenterprise.com,Summary,Generated,2024-05-13 01:49:00,2,3
M05000324,user7564@globalenterprise.com,Summary,Generated,2024-05-16 00:43:00,5,2
M05000325,user982@globalenterprise.com,Summary,Generated,2024-05-28 01:53:00,3,2
M05000326,user6407@globalenterprise.com,Summary,Generated,2024-05-27 00:28:00,4,2
M05000328,user6460@globalenterprise.com,Summary,Generated,2024-05-07 01:53:00,5,2
M05000329,user503@globalenterprise.com,Summary,Generated,2024-05-24 01:51:00,4,2
M05000331,user5975@globalenterprise.com,Summary,Generated,2024-05-03 00:55:00,5,3
M05000332,user5812@globalenterprise.com,Summary,Generated,2024-05-03 01:26:00,2,1
M05000337,user2627@globalenterprise.com,Summary,Generated,2024-05-24 00:35:00,2,1
M05000338,user5440@globalenterprise.com,Summary,Generated,2024-05-18 01:27:00,3,2
M05000339,user2974@globalenterprise.com,Summary,Generated,2024-05-06 00:47:00,4,3
M05000340,user6503@globalenterprise.com,Summary,Generated,2024-05-26 01:18:00,5,1
M05000342,user7294@globalenterprise.com,Summary,Generated,2024-05-28 00:35:00,3,3
M05000343,user7745@globalenterprise.com,Summary,Generated,2024-05-20 01:40:00,3,3
M05000344,user6219@globalenterprise.com,Summary,Generated,2024-05-09 01:36:00,5,3
M05000346,user1167@globalenterprise.com,Summary,Generated,2024-05-22 01:42:00,4,3
M05000347,user5633@globalenterprise.com,Summary,Generated,2024-05-14 00:30:00,2,3
M05000349,user2499@globalenterprise.com,Summary,Generated,2024-05-13 01:30:00,2,3
M05000351,user7403@globalenterprise.com,Summary,Generated,2024-05-23 01:25:00,3,3
M05000353,user2146@globalenterprise.com,Summary,Generated,2024-05-07 01:00:00,5,3
M05000355,user3975@globalenterprise.com,Summary,Generated,2024-05-17 00:36:00,3,3
M05000356,user7538@globalenterprise.com,Summary,Generated,2024-05-21 00:21:00,2,3
M05000357,user2569@globalenterprise.com,Summary,Generated,2024-05-27 01:55:00,4,3
M05000360,user2198@globalenterprise.com,Summary,Generated,2024-05-19 00:55:00,3,3
M05000362,user512@globalenterprise.com,Summary,Generated,2024-05-17 00:45:00,4,3
M05000363,user5933@globalenterprise.com,Summary,Generated,2024-05-07 00:30:00,2,3
M05000364,user6503@globalenterprise.com,Summary,Generated,2024-05-23 00:18:00,5,1
M05000365,user3498@globalenterprise.com,Summary,Generated,2024-05-10 00:21:00,3,3
M05000366,user3481@globalenterprise.com,Summary,Generated,2024-05-15 01:12:00,4,3
M05000367,user3957@globalenterprise.com,Summary,Generated,2024-05-12 01:36:00,4,2
M05000368,user5286@globalenterprise.com,Summary,Generated,2024-05-10 01:55:00,2,3
M05000370,user7202@globalenterprise.com,Summary,Generated,2024-05-18 00:33:00,5,2
M05000372,user1289@globalenterprise.com,Summary,Generated,2024-05-10 01:51:00,5,2
M05000373,user2962@globalenterprise.com,Summary,Generated,2024-05-15 00:37:00,4,3
M05000374,user6468@globalenterprise.com,Summary,Generated,2024-05-04 00:39:00,3,2
M05000375,user6897@globalenterprise.com,Summary,Generated,2024-05-11 00:23:00,4,2
M05000377,user1137@globalenterprise.com,Summary,Generated,2024-05-23 01:32:00,5,3
M05000379,user1849@globalenterprise.com,Summary,Generated,2024-05-19 01:47:00,4,3
M05000381,user2710@globalenterprise.com,Summary,Generated,2024-05-03 01:35:00,4,3
M05000382,user707@globalenterprise.com,Summary,Generated,2024-05-07 01:31:00,2,3
M05000383,user2887@globalenterprise.com,Summary,Generated,2024-05-28 00:37:00,4,2
M05000384,user3945@globalenterprise.com,Summary,Generated,2024-05-21 01:57:00,4,2
M05000385,user3378@globalenterprise.com,Summary,Generated,2024-05-18 01:14:00,5,3
M05000386,user7795@globalenterprise.com,Summary,Generated,2024-05-15 01:55:00,4,2
M05000387,user1877@globalenterprise.com,Summary,Generated,2024-05-10 00:42:00,2,1
M05000388,user6237@globalenterprise.com,Summary,Generated,2024-05-11 01:18:00,2,2
M05000389,user5568@globalenterprise.com,Summary,Generated,2024-05-12 00:49:00,2,1
M05000390,user2521@globalenterprise.com,Summary,Generated,2024-05-10 01:53:00,3,2
M05000392,user6821@globalenterprise.com,Summary,Generated,2024-05-13 00:47:00,5,1
M05000394,user3796@globalenterprise.com,Summary,Generated,2024-05-16 00:32:00,4,3
M05000395,user2759@globalenterprise.com,Summary,Generated,2024-05-20 01:44:00,2,1
M05000396,user338@globalenterprise.com,Summary,Generated,2024-05-07 01:40:00,4,1
M05000399,user2880@globalenterprise.com,Summary,Generated,2024-05-21 01:56:00,5,2
M05000400,user6943@globalenterprise.com,Summary,Generated,2024-05-26 01:48:00,2,2
M05000402,user4611@globalenterprise.com,Summary,Generated,2024-05-04 00:56:00,2,1
M05000408,user6164@globalenterprise.com,Summary,Generated,2024-05-12 00:17:00,5,3
M05000410,user3730@globalenterprise.com,Summary,Generated,2024-05-19 00:32:00,5,3
M05000411,user4368@globalenterprise.com,Summary,Generated,2024-05-21 01:34:00,3,1
M05000414,user3303@globalenterprise.com,Summary,Generated,2024-05-24 00:20:00,5,3
M05000415,user118@globalenterprise.com,Summary,Generated,2024-05-14 01:07:00,2,3
M05000416,user4056@globalenterprise.com,Summary,Generated,2024-05-08 00:53:00,5,3
M05000420,user2274@globalenterprise.com,Summary,Generated,2024-05-09 01:49:00,4,1
M05000422,user4965@globalenterprise.com,Summary,Generated,2024-05-15 00:58:00,5,3
M05000423,user6021@globalenterprise.com,Summary,Generated,2024-05-12 01:24:00,4,2
M05000425,user5525@globalenterprise.com,Summary,Generated,2024-05-17 01:52:00,5,1
M05000426,user1928@globalenterprise.com,Summary,Generated,2024-05-10 01:03:00,5,2
M05000427,user6699@globalenterprise.com,Summary,Generated,2024-05-05 00:15:00,2,2
M05000428,user1508@globalenterprise.com,Summary,Generated,2024-05-13 01:56:00,4,2
M05000430,user5754@globalenterprise.com,Summary,Generated,2024-05-18 00:23:00,2,2
M05000433,user6435@globalenterprise.com,Summary,Generated,2024-05-04 00:46:00,5,2
M05000434,user2708@globalenterprise.com,Summary,Generated,2024-05-18 01:02:00,4,3
M05000435,user197@globalenterprise.com,Summary,Generated,2024-05-05 00:47:00,4,2
M05000436,user7672@globalenterprise.com,Summary,Generated,2024-05-28 01:48:00,3,1
M05000438,user634@globalenterprise.com,Summary,Generated,2024-05-13 01:43:00,3,2
M05000441,user6420@globalenterprise.com,Summary,Generated,2024-05-21 01:25:00,3,3
M05000442,user3378@globalenterprise.com,Summary,Generated,2024-05-04 00:36:00,2,3
M05000444,user6605@globalenterprise.com,Summary,Generated,2024-05-28 00:18:00,2,1
M05000445,user3777@globalenterprise.com,Summary,Generated,2024-05-23 00:28:00,2,2
M05000446,user3420@globalenterprise.com,Summary,Generated,2024-05-14 00:33:00,5,1
M05000447,user5983@globalenterprise.com,Summary,Generated,2024-05-12 01:36:00,4,2
M05000449,user5547@globalenterprise.com,Summary,Generated,2024-05-12 01:09:00,5,3
M05000450,user357@globalenterprise.com,Summary,Generated,2024-05-18 00:31:00,3,2
M05000452,user3033@globalenterprise.com,Summary,Generated,2024-05-28 00:47:00,5,2
M05000454,user109@globalenterprise.com,Summary,Generated,2024-05-26 01:43:00,3,2
M05000455,user773@globalenterprise.com,Summary,Generated,2024-05-13 00:53:00,4,2
M05000456,user4782@globalenterprise.com,Summary,Generated,2024-05-16 00:19:00,2,3
M05000457,user400@globalenterprise.com,Summary,Generated,2024-05-06 01:04:00,2,1
M05000458,user2425@globalenterprise.com,Summary,Generated,2024-05-25 01:01:00,2,3
M05000459,user2859@globalenterprise.com,Summary,Generated,2024-05-03 00:32:00,4,2
M05000463,user2458@globalenterprise.com,Summary,Generated,2024-05-15 00:37:00,5,1
M05000464,user1029@globalenterprise.com,Summary,Generated,2024-05-11 00:31:00,4,3
M05000467,user6743@globalenterprise.com,Summary,Generated,2024-05-25 01:06:00,4,3
M05000468,user5074@globalenterprise.com,Summary,Generated,2024-05-15 00:50:00,2,2
M05000470,user2195@globalenterprise.com,Summary,Generated,2024-05-04 01:02:00,4,2
M05000471,user7714@globalenterprise.com,Summary,Generated,2024-05-22 01:27:00,3,2
M05000473,user1643@globalenterprise.com,Summary,Generated,2024-05-28 01:20:00,2,2
M05000474,user2719@globalenterprise.com,Summary,Generated,2024-05-11 00:28:00,2,2
M05000475,user571@globalenterprise.com,Summary,Generated,2024-05-21 01:57:00,2,1
M05000476,user2190@globalenterprise.com,Summary,Generated,2024-05-19 00:25:00,4,3
M05000479,user6084@globalenterprise.com,Summary,Generated,2024-05-12 00:17:00,3,1
M05000481,user2444@globalenterprise.com,Summary,Generated,2024-05-22 02:00:00,5,3
M05000482,user6530@globalenterprise.com,Summary,Generated,2024-05-08 01:46:00,4,2
M05000483,user2763@globalenterprise.com,Summary,Generated,2024-05-19 01:39:00,3,3
M05000485,user6770@globalenterprise.com,Summary,Generated,2024-05-20 00:26:00,2,2
M05000486,user2284@globalenterprise.com,Summary,Generated,2024-05-11 00:20:00,4,1
